SpecifiedPlayer,Ally1,Ally2,Ally3,Ally4,Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Outcome
Nidalee,Kayle,Teemo,Pyke,Lucian,Elise,Irelia,Xayah,Nami,Yasuo,0
Sett,AurelionSol,Sylas,Yone,Jayce,Samira,Nidalee,Warwick,Akali,Pyke,0
Sett,AurelionSol,Yasuo,Lux,Leona,Qiyana,Zoe,MissFortune,TahmKench,Nidalee,0
Sett,AurelionSol,MonkeyKing,MissFortune,TahmKench,Karthus,Nasus,Rengar,Yuumi,Jinx,0
Sett,Malphite,AurelionSol,Karma,Kalista,Heimerdinger,Nautilus,Yasuo,Kayn,Jhin,1
Sett,Vayne,Teemo,Zed,Vi,Kennen,Garen,Rammus,Ashe,Lux,1
Elise,Ashe,Renekton,Teemo,Lux,Camille,Jhin,Pyke,LeeSin,Vladimir,1
Elise,Teemo,Sett,Singed,Jhin,Twitch,Shen,Orianna,Lillia,Lulu,1
Fiddlesticks,Teemo,Vayne,Yuumi,Shen,Elise,Garen,Lucian,Ashe,Swain,1
Elise,Teemo,Yuumi,Samira,Jax,Lulu,MasterYi,Twitch,Galio,Diana,0
XinZhao,Maokai,Teemo,Aphelios,Morgana,Senna,Karma,Karthus,Gnar,MasterYi,1
Khazix,Bard,Ezreal,Teemo,Sylas,Ashe,Graves,Camille,AurelionSol,Alistar,0
Elise,Teemo,Ashe,Zyra,Urgot,Velkoz,Vi,Kayle,Lulu,Samira,1
Khazix,Leblanc,Teemo,Nautilus,Caitlyn,Jayce,Anivia,LeeSin,Twitch,Yuumi,1
Lillia,Alistar,Senna,Teemo,TwistedFate,Garen,Shen,Vi,Diana,Caitlyn,1
Lillia,Vladimir,Teemo,Ashe,Morgana,Lucian,Pantheon,Kennen,Talon,Shaco,0
Lillia,Soraka,Orianna,Teemo,Tristana,Lulu,Twitch,Sion,Hecarim,Heimerdinger,0
Lillia,Jhin,Mordekaiser,Teemo,Zilean,Garen,Yasuo,Alistar,Fiddlesticks,Samira,0
Brand,Kayn,Jhin,Samira,Teemo,Malphite,Yuumi,Fiddlesticks,Tristana,AurelionSol,1
Lillia,Lux,Jhin,Zyra,Teemo,Hecarim,Yasuo,Braum,Caitlyn,Fiora,1
Sett,Jhin,TwistedFate,Zac,Teemo,Darius,Morgana,Zed,Kalista,Lillia,1
Lillia,Teemo,Aphelios,Katarina,Karma,Jinx,Blitzcrank,Khazix,Nasus,Diana,1
Lillia,Cassiopeia,Teemo,Sivir,Bard,Warwick,Camille,Tristana,Lulu,Xerath,0
Lillia,Lucian,Teemo,Shaco,Sivir,Zoe,Sett,Samira,Jax,Leona,1
Lillia,Blitzcrank,Teemo,Ezreal,Katarina,Caitlyn,Lucian,Velkoz,Urgot,Nunu,1
Lillia,Teemo,Syndra,Blitzcrank,Ezreal,Kayn,Vladimir,Jayce,Xerath,Caitlyn,1
Lillia,Jinx,Teemo,Leona,Ryze,Nami,RekSai,Draven,Leblanc,Akali,0
Lillia,Jinx,Janna,Teemo,Sylas,Yone,Ziggs,Blitzcrank,Urgot,Shyvana,0
Lillia,Samira,Teemo,Qiyana,Bard,Senna,Ezreal,Shen,Heimerdinger,MasterYi,1
Lillia,Kaisa,Cassiopeia,Alistar,Teemo,Brand,Zac,Kled,Jinx,Galio,0
Lillia,Cassiopeia,Teemo,Ashe,Pantheon,Twitch,Yuumi,Anivia,Garen,Graves,0
Lillia,Teemo,Cassiopeia,Kalista,Sett,Kled,Ashe,Pantheon,Velkoz,Shyvana,1
Lillia,Teemo,Samira,Kaisa,Sett,Yuumi,Yasuo,Nasus,LeeSin,KogMaw,0
Lillia,Lulu,Jhin,Karthus,Teemo,Brand,Varus,Orianna,Rengar,DrMundo,0
Lillia,Xerath,Ashe,Azir,Teemo,Orianna,JarvanIV,Lulu,Kaisa,Jayce,0
Lillia,Teemo,Pyke,Zed,Xerath,Lucian,Akali,Evelynn,Lux,Twitch,1
Lillia,Lux,Teemo,Akali,Caitlyn,Rakan,Lucian,Diana,Veigar,Kayn,1
Udyr,Lucian,Yuumi,Akali,Karthus,Zed,Yone,Samira,Ekko,Morgana,0
Lillia,Teemo,Zed,Leona,Lucian,Karthus,Evelynn,Yasuo,Senna,Twitch,0
Lillia,Ziggs,Teemo,Ezreal,Senna,Lux,Yone,Lucian,Irelia,Nidalee,0
Lillia,Teemo,Ahri,Lucian,Senna,Khazix,Chogath,Samira,Nautilus,Ashe,0
Lillia,Teemo,Kassadin,Nautilus,Ezreal,Morgana,Twitch,Orianna,Khazix,Camille,1
Lillia,Yasuo,Teemo,Twitch,Lulu,Samira,Swain,Irelia,JarvanIV,Yuumi,1
Lillia,Teemo,Pantheon,Orianna,Kalista,Poppy,Sett,JarvanIV,Ashe,KogMaw,1
Lillia,Teemo,Caitlyn,Senna,Fizz,Ekko,Janna,Ezreal,Lucian,MasterYi,1
Lillia,Caitlyn,Karma,Yone,Teemo,Ashe,Volibear,Katarina,Pantheon,Riven,1
Lillia,Rakan,Teemo,Ezreal,Syndra,Zed,Ryze,Warwick,Soraka,Twitch,1
Lillia,Lulu,Senna,Teemo,Orianna,Gnar,Nautilus,Lucian,Rengar,Veigar,0
Lillia,Senna,Jhin,Vladimir,Teemo,Janna,Illaoi,MissFortune,Leblanc,Shen,0
Lillia,Samira,Teemo,Senna,Velkoz,Veigar,Brand,Jhin,Maokai,Warwick,0
Lillia,Teemo,Irelia,Pyke,MissFortune,Orianna,Khazix,Senna,Illaoi,Jhin,1
Lillia,Ashe,Swain,Kled,Teemo,Evelynn,MissFortune,Yasuo,Xerath,Urgot,1
Lillia,Teemo,Zoe,Lulu,Vayne,Nami,Jhin,XinZhao,Lux,Maokai,1
Lillia,Pantheon,Akali,Draven,Teemo,Bard,Mordekaiser,Aphelios,Talon,Evelynn,0
Lillia,Yone,Ezreal,Lux,Teemo,Rumble,Nautilus,Caitlyn,Yasuo,Khazix,0
Lillia,Sett,MissFortune,Lulu,Teemo,Volibear,Kayn,Senna,KogMaw,TwistedFate,0
Lillia,Sivir,Thresh,Zoe,Teemo,Jax,Akali,Heimerdinger,Blitzcrank,Gragas,1
Lillia,TwistedFate,TahmKench,Teemo,Jinx,Annie,Akali,Rengar,Nautilus,Kaisa,1
Lillia,Katarina,Teemo,Soraka,Ezreal,Ashe,Fizz,Pantheon,Shaco,Jax,0
Lillia,Zed,Yuumi,Ezreal,Teemo,Rumble,Khazix,Corki,Jhin,Senna,1
Lillia,Ahri,Pantheon,Tristana,Teemo,Fiora,Nocturne,Lulu,Lucian,Syndra,0
Lillia,Velkoz,Teemo,Taric,Xayah,Lux,MasterYi,Shen,Sona,Jinx,0
Lillia,Leona,Vayne,Teemo,Ahri,Nami,Ashe,Anivia,Shen,Graves,1
Lillia,Zed,Vayne,Pyke,Teemo,Ornn,Kaisa,Nautilus,Vi,Akali,1
Lillia,Yuumi,Ezreal,Teemo,Zed,Jhin,Kayn,Taric,Yone,Vladimir,0
Lillia,Syndra,Teemo,Ashe,Lulu,Khazix,Lucian,Sylas,Janna,Jhin,1
Lillia,TwistedFate,Pyke,Draven,Yasuo,Ekko,Sylas,Jinx,Zilean,Zed,0
Taric,Xerath,Zilean,Vayne,Teemo,Xayah,Brand,Hecarim,Aatrox,Veigar,1
Nunu,Irelia,Rakan,Ashe,Teemo,Ekko,Khazix,Kalista,Mordekaiser,Leona,0
Nidalee,Yone,Teemo,Draven,Lulu,Evelynn,Sion,Brand,MonkeyKing,Rumble,1
Nidalee,Bard,Akali,Teemo,Lucian,Zed,Yasuo,Hecarim,Syndra,Lux,0
Fiddlesticks,Teemo,Yuumi,Caitlyn,Quinn,Pyke,Renekton,Leblanc,Nidalee,Lucian,1
Ekko,Nocturne,Kaisa,Bard,Teemo,Garen,Nautilus,Ezreal,Vi,Ziggs,1
Fiddlesticks,Teemo,Zed,Velkoz,Jhin,Alistar,Warwick,Caitlyn,Viktor,Maokai,1
Sett,Lucian,Xerath,Teemo,Shaco,Orianna,Riven,Karthus,Tristana,Soraka,1
Fiddlesticks,Teemo,Zoe,Brand,Draven,Veigar,JarvanIV,Lucian,Kayle,Blitzcrank,0
Fiddlesticks,Yasuo,Teemo,Senna,Zac,Malphite,Yone,Blitzcrank,Caitlyn,Lillia,1
Ekko,Yasuo,Teemo,RekSai,Janna,Pantheon,Zed,Gragas,Kayle,Lucian,0
Elise,Sett,Vayne,Teemo,Ryze,Camille,Diana,Hecarim,Jinx,Thresh,0
Ekko,Kassadin,Pyke,Rengar,Teemo,Garen,Cassiopeia,Khazix,Kalista,Gragas,0
