SpecifiedPlayer,Ally1,Ally2,Ally3,Ally4,Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Outcome
Twitch,Kassadin,Lulu,Irelia,Vi,Swain,Jhin,Graves,Samira,Akali,0
KogMaw,Lulu,Talon,Darius,Kayn,Annie,Caitlyn,Hecarim,Morgana,Camille,0
Taliyah,Talon,Singed,Thresh,Aphelios,Jhin,Nautilus,Yasuo,Nidalee,Ornn,1
Zed,MissFortune,Morgana,Aatrox,Zac,Ezreal,Swain,Fiora,Orianna,Sion,1
Katarina,Syndra,Twitch,Kled,LeeSin,Viktor,Volibear,Mordekaiser,Leona,Jhin,1
Evelynn,Morgana,Irelia,Darius,Caitlyn,Lulu,Khazix,Ezreal,Zed,Velkoz,0
Evelynn,Kaisa,Malphite,Soraka,Yone,Thresh,Ashe,Fiora,Graves,Ekko,1
Twitch,Kayle,Evelynn,Camille,Nautilus,Darius,Sylas,Kaisa,Akali,Janna,0
Kassadin,JarvanIV,Nautilus,Neeko,Sivir,Alistar,Ziggs,Hecarim,Lucian,Jax,0
Camille,TahmKench,Draven,Galio,Khazix,Ekko,Yasuo,Rengar,Malphite,LeeSin,1
Orianna,Khazix,Sona,Yone,Syndra,Akali,Draven,Yone,Khazix,Thresh,1
Janna,Sylas,Darius,JarvanIV,Ashe,Elise,Yuumi,Fiora,Yone,Karthus,0
Evelynn,Kayle,Zed,Ezreal,Sylas,Elise,Nocturne,Yasuo,Morgana,Ziggs,0
Evelynn,Zoe,Lulu,Senna,Quinn,Blitzcrank,Katarina,Rengar,Caitlyn,MonkeyKing,1
Gragas,Yone,Camille,Veigar,Galio,Hecarim,Lucian,Katarina,MonkeyKing,Nami,1
Evelynn,Katarina,Illaoi,Vayne,Lulu,Lucian,Zilean,Ziggs,Jax,DrMundo,1
Evelynn,Blitzcrank,Draven,Jax,Akali,Hecarim,Renekton,Rakan,Vayne,Velkoz,0
Evelynn,Gragas,Riven,Jhin,Yone,Lulu,Hecarim,Kassadin,Lucian,Gnar,1
Evelynn,Caitlyn,Nautilus,Lux,Aatrox,Senna,Vladimir,Ezreal,Kayn,Irelia,1
Evelynn,Illaoi,Sivir,Janna,Lucian,Twitch,Karma,Khazix,Malphite,Akali,1
Evelynn,Sylas,Sion,Zyra,Ashe,Zed,Rammus,Draven,Janna,Vladimir,1
Evelynn,Darius,Ashe,Senna,Lissandra,Sion,Ekko,Yone,Lulu,Ezreal,1
Twitch,Yone,Garen,Lulu,Shyvana,Ezreal,Janna,Warwick,Ahri,Fiora,0
Twitch,Yasuo,Khazix,Morgana,Galio,Aatrox,Lucian,Sett,Senna,Velkoz,0
Twitch,Zac,Katarina,Volibear,Anivia,Fiora,Olaf,Lucian,Orianna,Thresh,1
Twitch,Khazix,Kassadin,Yuumi,Shen,Leona,Lillia,Ashe,Akali,Orianna,1
Irelia,Heimerdinger,Janna,Hecarim,MissFortune,Evelynn,Lux,Leona,Senna,Shaco,1
Kassadin,Braum,Jinx,Irelia,Camille,Heimerdinger,Volibear,MissFortune,Senna,Gangplank,1
Rengar,Fiora,Karma,Ziggs,Sivir,Bard,Kalista,Shen,Khazix,Velkoz,0
Brand,Kayle,Ivern,Sona,Jhin,Vayne,Yuumi,Riven,Akali,Singed,1
Varus,Talon,Yone,Shen,Evelynn,Sett,Ashe,Nocturne,Kayle,TwistedFate,0
Kindred,Singed,Karthus,Karma,Pyke,Evelynn,Zed,Thresh,Kayle,Vayne,0
Kaisa,Hecarim,Ahri,Warwick,Morgana,Lux,Urgot,Nunu,Nocturne,Ezreal,0
Twitch,Lulu,Talon,Fiora,Gragas,Lissandra,Blitzcrank,Xayah,Lillia,Sion,0
Rengar,Morgana,Darius,Yone,Kayle,Maokai,Brand,JarvanIV,Kayn,Gragas,1
Twitch,Ahri,Gnar,Soraka,Skarner,Vladimir,Senna,Syndra,Kayn,Nami,0
Rengar,Swain,Lucian,LeeSin,Rumble,Aphelios,Janna,Nocturne,Yone,Ryze,1
KogMaw,Lulu,Kayle,Annie,Vi,Braum,Sylas,Akali,Jax,Ezreal,1
Twitch,Ekko,Yone,Alistar,Darius,Lissandra,Draven,Zed,Nunu,Thresh,1
Caitlyn,Zed,Fiddlesticks,Zilean,Gangplank,Teemo,Olaf,Karma,Irelia,Ashe,0
Caitlyn,Volibear,Warwick,Veigar,Morgana,Yuumi,Amumu,Ezreal,Kassadin,Quinn,1
Twitch,Shen,Ekko,Lulu,Zed,MonkeyKing,Yuumi,Jhin,Rumble,Kayn,1
Soraka,Kaisa,Darius,Yone,Sylas,Draven,Khazix,Kayn,Akali,Yuumi,1
Nidalee,Yone,Twitch,Shen,Yuumi,Mordekaiser,Annie,Lulu,Olaf,Kaisa,0
Kindred,MissFortune,Katarina,Shen,Sona,Kayn,Yasuo,Renekton,Draven,Blitzcrank,1
Kindred,Morgana,Shen,Pyke,Ashe,Sion,Akali,Yuumi,Twitch,Warwick,1
Kindred,Kaisa,Kennen,Sett,Thresh,Karma,Taliyah,Jinx,Hecarim,Mordekaiser,0
